"","Country","VAT","IncomeTaxTop","CorporateTax"
"199","Suriname",NA,38,36
"200","Svalbard",0,22,16
"201","Sweden",25,45.6,20.6
"202","Switzerland",8.1,50.14,17.92
"203","Syria",NA,15,22
"204","Taiwan",5,40,20
"205","Tajikistan",18,13,13
"206","Tanzania",14,30,30
"207","Thailand",7,35,20
"208","Togo",NA,NA,27
"209","Tokelau",NA,NA,0
"210","Tonga",NA,NA,25
"211","Trinidad and Tobago",12.5,30,30
"212","Tunisia",18,35,30
"213","Turkey",20,40,25
"214","Turkmenistan",NA,NA,8
"215","Turks and Caicos Islands",NA,NA,0
"216","Tuvalu",NA,NA,30
"217","Uganda",18,NA,30
"218","Ukraine",2,18,18
"219","United Arab Emirates",5,0,0
"220","United Kingdom",20,62,19
"221","United States",11.5,45.38,21
"222","Uruguay",22,36,25
"223","Uzbekistan",15,12,12
"224","Vanuatu",0,0,0
"225","Venezuela",16,34,34
"226","Vietnam",10,35,20
"227","British Virgin Islands",NA,0,0
"228","U.S. Virgin Islands",NA,NA,21
"229","Wallis and Futuna",0,0,0
"230","Yemen",2,15,20
"231","Zambia",16,30,30
"232","Zimbabwe",15,45,25
